Year,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),SORGHUM YIELD (Kg per ha),PEARL MILLET AREA (1000 ha),PEARL MILLET PRODUCTION (1000 tons),PEARL MILLET YIELD (Kg per ha),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),MAIZE YIELD (Kg per ha),CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),CHICKPEA YIELD (Kg per ha),PIGEONPEA AREA (1000 ha),PIGEONPEA PRODUCTION (1000 tons),PIGEONPEA YIELD (Kg per ha),MINOR PULSES AREA (1000 ha),MINOR PULSES PRODUCTION (1000 tons),MINOR PULSES YIELD (Kg per ha),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 tons),GROUNDNUT YIELD (Kg per ha),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 tons),SESAMUM YIELD (Kg per ha),OILSEEDS AREA (1000 ha),OILSEEDS PRODUCTION (1000 tons),OILSEEDS YIELD (Kg per ha),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons),SUGARCANE YIELD (Kg per ha),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),FRUITS AND VEGETABLES AREA (1000 ha),NITROGEN SHARE IN NPK (Percent),NITROGEN PER HA OF NCA (Kg per ha),NITROGEN PER HA OF GCA (Kg per ha),PHOSPHATE CONSUMPTION (tons),PHOSPHATE SHARE IN NPK (Percent),PHOSPHATE PER HA OF NCA (Kg per ha),PHOSPHATE PER HA OF GCA (Kg per ha),POTASH CONSUMPTION (tons),POTASH SHARE IN NPK (Percent),POTASH PER HA OF NCA (Kg per ha),POTASH PER HA OF GCA (Kg per ha),Min Temp (Centigrate),Max Temp (Centigrate),Precipitation (mm),Irrigated Area,Annual Rainfall
1990,Kolhapur,103,259,2515,9,13,1370,50,115,2294,0,0,250,1,2,1727,12,7,602,5,2,412,13,6,457,70,114,1639,0,0,0,89,129,1453,63,560,8950,0,0,200,8,55,132,122,23812,23,56,52,22897,22,54,50,19,29,1801,92,1865
1991,Kolhapur,102,253,2483,10,16,1620,44,65,1475,0,0,250,5,7,1587,10,7,673,4,2,439,20,4,214,67,93,1388,0,0,0,94,126,1335,67,620,9330,0,0,200,8,54,142,133,24943,23,62,58,24078,23,60,56,18,30,1864,93,2041
1992,Kolhapur,102,268,2616,9,18,1935,48,113,2344,0,0,1000,5,8,1660,12,10,904,5,4,792,24,10,432,68,146,2156,0,0,0,97,202,2072,64,516,8130,0,0,200,5,59,108,100,15937,21,38,35,14825,20,36,33,18,29,2141,89,1738
1993,Kolhapur,102,244,2403,9,17,1886,42,78,1860,0,0,1000,7,13,1833,10,7,735,5,3,652,16,8,538,58,117,2017,0,0,0,100,204,2048,63,531,8493,0,0,200,7,61,133,117,18017,20,43,38,16789,19,40,35,19,29,2086,85,2237
1994,Kolhapur,103,238,2317,9,20,2074,32,51,1577,0,0,1000,7,14,2136,9,7,779,4,2,526,16,7,453,61,99,1624,0,0,0,109,150,1383,86,763,8919,0,0,150,8,60,148,125,21032,20,50,42,19934,19,48,40,18,29,2799,110,2586
1995,Kolhapur,102,229,2234,11,22,1938,29,58,1983,0,0,1000,4,7,1921,9,8,835,4,2,459,11,5,451,61,138,2252,2,1,333,108,204,1892,96,775,8062,0,0,150,12,59,147,114,21405,20,51,40,22063,21,53,41,18,30,2333,124,1597
1996,Kolhapur,103,280,2708,8,16,2132,28,55,1943,0,0,1000,4,7,1628,10,7,641,3,2,515,11,6,496,62,141,2253,2,1,286,113,240,2125,90,695,7752,0,0,250,8,63,137,93,16924,19,40,28,16159,18,38,26,19,30,1820,114,1744
1997,Kolhapur,110,253,2297,6,10,1597,27,43,1626,0,0,333,4,6,1500,10,7,688,3,1,259,14,5,394,47,79,1670,2,0,130,109,162,1479,84,659,7879,0,0,300,8,59,159,127,23029,21,55,44,22344,20,53,43,19,30,2025,113,1431
1998,Kolhapur,106,290,2726,7,13,1836,27,46,1670,0,0,1000,6,9,1709,11,8,690,4,1,371,16,7,468,63,122,1958,0,0,0,128,256,1998,95,903,9536,0,0,200,11,52,119,93,24800,25,56,44,22903,23,52,41,19,30,2285,131,1843
1999,Kolhapur,104,263,2537,8,15,2000,27,41,1500,0,0,1000,6,10,1574,12,9,762,2,1,400,14,8,535,64,95,1481,0,0,0,131,248,1897,93,923,9911,0,0,200,14,49,134,105,29883,25,69,54,29730,25,68,54,18,30,1653,123,2132
2000,Kolhapur,107,234,2190,8,15,1786,24,35,1452,0,0,0,6,8,1293,13,9,680,2,1,450,14,6,403,68,106,1556,0,0,0,134,229,1710,90,816,9095,0,0,200,19,56,125,72,21143,22,50,29,20447,22,48,28,18,29,1796,136,1744
2001,Kolhapur,106,291,2733,9,17,1953,22,37,1702,0,0,0,7,14,2136,14,9,626,2,1,333,13,5,409,69,138,1988,0,0,0,134,248,1847,102,920,9025,0,0,200,9,55,119,69,21731,24,51,29,19377,21,45,26,19,29,1541,149,1581
2002,Kolhapur,106,235,2212,9,15,1788,19,32,1704,0,0,0,8,14,1782,12,9,777,3,1,385,13,5,356,68,111,1626,0,0,0,132,231,1745,98,842,8558,0,0,200,10,61,117,67,15888,19,37,21,16404,20,38,22,19,30,1426,148,1626
2003,Kolhapur,107,248,2323,9,17,2023,18,27,1481,0,0,0,8,16,1975,12,9,786,3,1,286,13,5,364,67,116,1744,0,0,0,138,251,1818,87,492,5660,0,0,200,7,56,103,53,17641,23,41,21,16461,21,38,20,19,30,1330,8,1435
2004,Kolhapur,111,281,2532,9,19,2109,20,35,1778,0,0,0,9,24,2631,11,9,879,3,1,438,12,6,514,69,117,1691,0,0,0,147,234,1596,76,653,8591,0,0,0,9,54,120,62,22783,24,53,28,20551,22,48,25,19,30,1788,96,1928
2005,Kolhapur,109,248,2275,10,20,2030,20,25,1265,0,0,0,9,17,1977,9,7,772,3,1,355,13,6,438,67,85,1270,0,0,250,140,154,1100,95,723,7650,0,0,200,8,53,126,121,24003,23,56,54,24929,24,58,56,19,30,2757,18,2810
2006,Kolhapur,110,286,2594,9,19,2086,21,27,1267,0,0,0,11,20,1762,9,7,753,3,1,500,13,7,510,62,66,1065,0,0,1000,123,150,1227,106,857,8065,0,0,300,0,52,144,82,27809,24,65,37,28184,24,66,38,19,30,2723,17,2611
2007,Kolhapur,113,338,3005,11,25,2390,21,36,1697,0,0,0,12,31,2658,10,9,939,3,1,464,13,7,584,58,97,1666,0,0,1000,119,225,1896,114,974,8554,0,0,200,0,51,148,86,31709,25,74,43,29352,24,68,40,19,30,2780,20,2261
2008,Kolhapur,114,287,2510,10,24,2479,21,38,1771,0,0,0,10,24,2365,10,8,743,2,1,458,12,4,318,61,90,1491,0,0,0,122,220,1804,103,846,8255,0,0,300,0,52,99,59,22690,27,53,31,17343,21,40,24,18,29,1983,21,2082
2009,Kolhapur,113,293,2588,8,18,2277,20,33,1607,0,0,0,11,28,2556,9,8,876,3,3,1011,12,5,439,61,86,1418,0,0,0,122,203,1656,113,981,8705,0,0,300,0,47,162,105,42920,29,100,65,34558,23,80,52,19,30,2579,-20,1884
2010,Kolhapur,112,323,2885,9,23,2656,22,37,1703,0,0,0,12,26,2216,9,7,836,2,1,346,11,5,492,61,93,1527,0,0,0,112,232,2065,140,1259,9000,0,0,400,0,46,151,144,39649,28,92,87,35657,25,83,79,19,30,2746,-20,2082
2011,Kolhapur,105,281,2678,9,21,2482,19,36,1879,0,0,0,12,33,2877,9,11,1263,3,1,272,9,3,366,52,68,1315,0,0,0,103,194,1877,146,1285,8793,0,0,0,5,52,158,115,37177,28,86,63,25191,19,58,42,18,29,2533,-20,1884
2012,Kolhapur,109,284,2617,9,20,2193,24,40,1687,0,0,0,6,10,1900,10,11,1104,1,0,144,7,1,215,53,73,1392,0,0,0,104,203,1952,142,1374,9675,0,0,0,32,56,165,107,29658,23,69,45,26804,21,62,40,19,30,1601,-20,1619
2013,Kolhapur,110,342,3119,17,42,2512,27,43,1613,0,0,0,7,17,2545,11,14,1193,0,0,500,5,4,685,54,95,1774,0,0,0,88,175,1993,135,1358,10045,0,0,0,0,57,153,104,24460,21,57,39,24992,22,58,40,19,29,2061,-20,1892
2014,Kolhapur,112,339,3029,7,15,2221,23,38,1645,0,0,0,10,30,3105,6,6,905,2,0,267,7,3,433,54,84,1546,0,0,0,112,207,1847,146,1503,10275,0,0,0,0,55,183,125,33235,23,77,53,32194,22,74,51,19,30,2621,-20,1692
2015,Kolhapur,112,277,2461,2,5,2250,17,24,1404,0,0,0,12,32,2647,5,4,833,2,0,133,5,3,499,56,90,1597,0,0,0,111,194,1740,145,1310,9014,0,0,0,0,55,158,115,30649,25,71,52,24587,20,57,42,19,30,1463,-20,972
2016,Kolhapur,114,398,3483,4,10,2256,21,42,2009,0,0,0,12,44,3700,9,8,843,1,1,377,8,4,501,49,93,1896,0,0,269,0,0,0,133,1250,9424,0,0,0,0,53,181,132,36007,24,83,60,32856,22,76,55,19,30,1463,-20,972
1966,Nagpur,25,11,440,70,32,457,227,98,434,1,0,250,0,0,0,9,3,333,30,12,400,91,2,18,18,4,222,13,3,222,144,11,74,0,1,4000,81,5,62,13,75,4,4,751,25,1,1,0,0,0,0,20,33,1528,20,986
1967,Nagpur,30,25,833,69,28,406,211,97,457,3,1,280,0,0,0,10,3,300,31,8,258,94,1,10,18,9,500,21,3,146,165,16,96,0,0,4000,85,6,67,14,83,7,7,751,17,1,1,0,0,0,0,20,33,1117,30,1170
1968,Nagpur,31,24,772,69,26,378,226,134,594,0,0,333,0,0,0,9,2,215,29,12,414,15,4,277,13,8,597,20,5,233,61,18,303,0,1,8000,84,8,96,15,56,5,5,1176,23,2,2,1050,21,2,2,19,33,1133,33,929
1969,Nagpur,33,26,785,64,20,319,210,96,458,0,0,333,0,0,333,9,2,184,42,20,483,18,4,202,14,8,594,20,5,225,60,16,272,0,1,6000,84,8,90,16,59,6,5,1076,21,2,2,1045,20,2,2,20,33,1143,35,918
1970,Nagpur,35,35,1009,63,27,430,204,42,207,0,0,500,1,0,200,9,2,264,35,16,444,20,3,138,14,7,496,16,2,138,58,14,247,0,1,6000,93,4,45,19,55,7,7,1679,24,3,3,1520,21,3,3,20,33,1738,43,1326
1971,Nagpur,37,22,612,64,35,548,208,56,267,0,0,500,0,0,250,9,3,315,40,20,509,17,2,133,15,7,493,16,2,143,58,16,280,0,1,6000,93,7,77,14,52,8,8,2342,28,4,4,1717,20,3,3,19,32,1657,44,1078
1972,Nagpur,34,11,318,60,21,354,201,75,372,0,0,500,0,0,333,8,3,349,41,18,436,13,2,136,17,4,267,19,4,227,67,16,235,0,1,6000,93,10,105,15,66,9,9,983,13,2,2,1549,21,3,3,20,33,1205,36,623
1973,Nagpur,38,34,905,71,37,521,213,92,433,0,0,500,0,0,250,11,4,396,40,19,479,16,2,150,15,7,490,23,3,130,68,17,246,0,1,7000,85,5,59,15,60,10,10,2693,28,5,5,1211,12,2,2,20,33,1662,48,1183
1974,Nagpur,38,32,834,67,44,657,213,163,767,0,0,500,0,0,250,13,6,432,39,16,394,21,6,280,15,11,725,26,4,156,75,24,315,0,1,7000,95,9,90,15,56,9,9,1731,19,3,3,2349,25,4,4,20,33,948,45,846
1975,Nagpur,42,55,1307,80,72,903,211,109,516,0,0,333,0,0,1000,13,5,403,40,19,471,18,13,701,12,11,910,19,2,126,66,22,330,0,1,7000,82,5,63,15,74,13,12,1024,10,2,2,1508,15,3,3,20,32,1354,50,1350
1976,Nagpur,42,45,1072,78,49,630,213,128,602,1,0,333,0,0,1333,12,4,290,36,13,368,20,4,217,14,7,451,18,3,153,67,15,231,0,1,8000,72,5,75,15,65,15,15,2639,20,5,5,1921,15,3,3,20,33,1102,55,1031
1977,Nagpur,44,57,1310,79,54,682,220,152,690,0,0,500,0,0,1000,14,4,296,28,11,413,19,3,179,14,12,882,16,3,203,64,25,393,0,2,8500,78,6,79,19,71,18,17,2139,15,4,4,1942,14,3,3,20,33,1128,60,1192
1978,Nagpur,45,59,1315,83,49,596,215,153,712,0,0,333,0,1,1500,15,3,224,42,25,589,15,3,197,14,6,448,18,6,304,69,20,287,0,2,8000,79,8,95,19,64,16,15,2709,19,5,4,2576,18,5,4,20,32,1197,63,1261
1979,Nagpur,42,49,1162,81,66,816,217,149,689,0,0,1000,0,1,1750,16,4,252,42,20,481,16,4,250,13,11,860,23,6,250,67,25,371,0,2,9000,85,9,107,21,64,19,18,3278,19,6,5,2727,16,5,4,21,33,1137,67,1176
1980,Nagpur,43,62,1444,76,49,638,217,130,601,0,0,500,1,1,1200,15,3,225,46,20,448,3,6,1697,13,10,772,22,4,199,62,15,242,0,2,11000,87,7,78,23,24,23,21,33328,70,66,60,2421,5,5,4,21,33,1084,68,1080
1981,Nagpur,42,63,1488,79,60,755,217,137,635,0,0,500,1,1,1000,16,4,253,46,24,520,2,4,2563,12,8,661,20,4,189,60,12,202,0,2,8500,89,8,89,22,63,24,22,3997,21,8,7,3221,17,6,6,20,33,1458,72,1362
1982,Nagpur,37,41,1100,76,51,670,213,184,864,0,0,250,1,1,1000,15,3,222,45,19,414,9,1,67,13,7,563,22,6,253,60,19,315,0,1,6500,87,9,100,24,60,32,28,7326,27,14,13,3569,13,7,6,21,32,996,57,780
1983,Nagpur,39,51,1330,79,62,791,215,148,687,1,0,400,1,0,500,17,5,282,46,32,690,7,2,233,15,11,759,22,6,253,62,20,327,0,1,7000,88,4,50,25,66,27,24,4552,22,9,8,2625,12,5,5,20,32,1300,64,1214
1984,Nagpur,38,29,769,72,65,897,206,110,533,1,0,400,1,1,1800,17,7,384,47,31,658,19,1,62,17,8,480,24,4,182,66,17,261,0,2,10000,74,7,92,27,67,20,18,3420,22,7,6,1752,11,3,3,20,33,885,69,970
1985,Nagpur,40,65,1647,71,49,689,200,145,726,0,0,250,0,0,0,20,7,324,48,24,508,22,6,246,19,12,647,22,3,120,90,21,236,0,0,0,75,12,154,27,60,29,26,5470,23,11,10,3888,17,8,7,20,33,1183,68,1060
1986,Nagpur,41,58,1415,69,54,783,175,124,710,1,0,200,0,0,0,20,10,490,47,23,489,9,0,46,19,15,789,21,5,238,106,25,238,0,0,0,64,8,125,27,61,26,23,5721,25,11,10,3133,14,6,5,20,33,1015,68,1129
1987,Nagpur,36,32,889,57,41,719,184,154,841,1,0,200,0,0,0,21,5,252,50,23,460,18,4,223,22,16,727,21,5,241,117,40,345,0,0,0,53,6,113,20,64,15,13,2801,23,6,5,1557,13,3,3,20,33,956,78,765
1988,Nagpur,45,74,1625,58,58,995,165,144,872,0,0,500,0,0,0,27,17,649,52,27,525,24,14,606,27,21,785,19,4,183,125,70,557,0,2,7000,64,11,175,31,61,22,18,5272,29,11,8,1921,10,4,3,21,33,1224,82,1122
1989,Nagpur,38,43,1118,50,49,966,151,176,1163,0,0,1000,0,0,0,28,13,468,53,37,703,19,8,397,25,20,793,15,2,134,132,79,597,0,2,7000,66,9,134,31,57,28,25,8888,34,17,15,2201,8,4,4,20,33,909,85,769
1990,Nagpur,38,38,1008,51,48,931,146,154,1053,0,0,500,1,0,0,27,14,524,56,31,563,19,8,431,22,13,571,16,4,228,156,102,656,0,3,7775,68,9,134,32,52,34,30,13529,38,25,22,3595,10,7,6,20,32,1370,89,979
1991,Nagpur,39,40,1026,38,28,731,131,87,665,0,0,500,0,0,0,22,11,496,52,14,261,20,3,168,23,11,472,10,2,153,166,77,460,0,3,7250,60,7,116,32,49,32,30,14052,40,26,24,3722,11,7,6,20,33,947,99,838
1992,Nagpur,38,46,1198,41,38,929,123,119,969,0,0,0,0,0,0,26,12,462,54,35,646,22,7,307,21,13,650,10,2,220,184,118,639,0,2,7267,55,6,110,32,64,38,36,9461,29,17,16,2163,7,4,4,21,33,913,99,997
1993,Nagpur,37,52,1405,56,67,1201,118,115,978,0,0,0,0,0,0,30,16,538,55,35,627,21,12,545,20,20,995,5,1,208,216,235,1090,0,1,7000,51,8,150,33,68,38,35,8078,26,15,14,1859,6,3,3,21,33,1335,87,1194
1994,Nagpur,37,50,1350,57,79,1399,88,68,766,0,0,1000,0,0,1000,37,22,600,53,25,463,18,6,311,15,12,799,4,1,190,209,151,721,1,5,7714,52,9,172,35,62,38,36,11521,34,21,20,1147,3,2,2,20,32,1738,92,1619
1995,Nagpur,39,51,1329,50,61,1210,90,105,1164,0,0,0,0,0,1000,36,18,483,55,34,621,18,6,354,16,20,1245,2,0,200,227,203,894,1,7,6025,58,12,212,44,69,46,43,9233,25,17,16,2033,6,4,3,20,33,1321,120,1073
1996,Nagpur,35,47,1365,51,60,1190,86,95,1112,0,0,1000,0,0,1000,34,21,624,56,32,577,15,5,358,17,13,796,3,1,200,255,237,930,1,9,7855,59,11,194,46,64,43,40,11465,31,21,19,1692,5,3,3,21,33,886,124,821
1997,Nagpur,54,44,815,58,21,364,76,56,738,0,0,1000,0,0,1333,37,10,266,50,9,183,24,8,346,15,13,872,1,0,154,284,188,663,1,3,3953,59,5,82,44,54,54,41,21171,39,39,30,3380,6,6,5,20,32,1008,133,1385
1998,Nagpur,29,40,1380,62,68,1100,76,67,887,0,0,1000,0,0,0,37,22,587,51,35,685,11,4,352,14,13,907,2,0,235,287,254,884,1,6,9400,57,12,210,46,63,44,35,13330,35,25,20,695,2,1,1,21,33,1118,142,997
1999,Nagpur,38,42,1119,63,71,1133,70,53,754,0,0,1000,0,0,867,38,22,580,51,47,910,12,4,370,13,10,773,1,0,300,270,243,901,1,6,8843,64,18,278,46,60,50,41,16586,38,32,26,1070,2,2,2,20,33,1085,135,1155
2000,Nagpur,38,37,992,32,33,1031,57,46,805,0,0,0,1,1,1000,27,13,483,49,30,620,13,5,399,11,7,626,1,0,333,241,183,759,1,7,7911,71,11,151,36,60,45,42,13975,34,25,24,2489,6,5,4,20,33,959,120,681
2001,Nagpur,43,55,1290,31,33,1075,58,43,745,0,0,0,0,1,2500,30,19,640,51,56,1113,9,4,441,11,8,722,0,0,250,212,204,962,1,5,5822,80,13,163,35,58,43,39,14044,35,26,24,2946,7,5,5,21,33,1104,113,1025
2002,Nagpur,44,42,968,31,33,1048,53,46,884,0,0,0,0,1,2000,32,18,558,50,27,534,10,3,289,7,5,689,0,0,333,217,229,1053,1,5,3769,73,12,165,32,52,55,51,21379,37,39,36,6294,11,12,11,21,33,979,113,863
2003,Nagpur,45,65,1454,35,43,1234,53,46,869,0,0,0,0,1,2250,38,24,637,51,32,632,11,5,429,8,7,909,0,0,500,231,286,1240,1,5,5878,74,20,264,32,58,50,46,17223,37,31,29,2416,5,4,4,21,33,1197,54,1068
2004,Nagpur,43,42,961,32,35,1091,45,32,698,0,0,0,0,1,1250,40,19,481,53,29,549,9,3,362,7,4,522,0,0,0,245,177,723,0,3,7400,75,18,235,19,52,44,41,19301,41,35,32,3236,7,6,5,21,33,991,54,792
2005,Nagpur,46,63,1373,50,56,1112,44,33,766,0,0,0,0,1,1750,50,31,620,52,36,699,10,3,320,7,6,899,0,0,250,263,271,1030,0,0,0,73,17,229,24,54,48,41,19404,41,35,31,2400,5,4,4,21,33,1220,74,1329
2006,Nagpur,47,71,1509,64,74,1161,37,37,987,0,0,0,0,1,1750,67,40,599,53,34,633,10,5,507,7,7,970,0,0,1000,279,357,1282,0,1,3600,68,14,212,0,52,54,50,24328,43,44,41,2789,5,5,5,21,33,1426,91,1076
2007,Nagpur,50,76,1521,67,98,1455,25,23,914,0,0,0,1,2,3000,76,56,744,55,41,743,10,6,580,7,7,919,0,0,1000,292,390,1337,0,2,7633,63,18,287,0,55,57,52,20900,37,38,35,4000,7,7,7,21,33,1139,97,1251
2008,Nagpur,58,55,950,41,46,1130,19,15,784,0,0,0,1,1,1500,66,40,601,57,29,515,6,2,407,6,5,714,0,0,1000,312,263,843,0,1,5750,44,11,244,0,49,55,51,23760,38,44,40,7930,13,15,13,21,33,1118,71,841
2009,Nagpur,71,81,1146,57,77,1346,16,11,699,0,0,0,0,0,2250,74,59,797,51,48,932,7,4,516,6,5,838,0,0,0,293,225,769,0,1,7050,64,15,238,0,51,68,58,30062,41,55,46,5721,8,10,9,22,34,1059,-20,930
2010,Nagpur,72,70,983,75,116,1539,16,11,681,0,0,0,0,0,2500,85,74,866,62,52,839,7,4,517,5,4,893,0,0,350,250,293,1172,0,1,2067,81,21,265,0,49,75,64,33023,39,60,51,10481,12,19,16,21,34,1458,-20,841
2011,Nagpur,78,117,1515,79,116,1474,10,7,712,0,0,0,0,0,700,70,62,884,56,45,800,11,5,510,3,3,855,0,0,300,247,162,653,1,5,6857,102,24,236,25,51,76,65,31855,38,58,50,9046,11,16,14,20,33,1124,-20,930
2012,Nagpur,67,100,1497,80,125,1556,9,7,792,0,0,0,1,1,2000,71,61,853,55,41,733,10,5,516,3,4,1345,0,0,400,243,243,1003,0,2,7367,89,30,336,34,58,76,65,22939,32,42,36,7029,10,13,11,21,33,1299,-20,1020
2013,Nagpur,78,105,1352,86,83,964,7,3,523,0,0,0,1,1,1800,72,45,629,59,27,454,15,6,396,3,2,710,0,0,0,229,96,419,0,2,6667,92,27,293,0,62,78,66,20062,29,36,31,6205,9,11,10,20,32,1685,-20,1444
2014,Nagpur,79,96,1212,89,111,1250,5,3,540,0,0,0,1,1,1333,67,47,696,62,21,340,5,1,196,3,2,600,0,0,0,233,84,361,4,26,6803,111,27,243,0,58,80,68,22985,30,42,35,9704,13,18,15,21,33,1044,-20,868
2015,Nagpur,89,107,1210,93,94,1014,5,4,809,0,0,0,0,0,1000,67,51,755,68,28,412,4,1,306,4,4,1087,0,0,200,205,82,399,4,30,6739,126,29,230,0,56,96,81,31892,34,58,49,9250,10,17,14,21,33,1310,-20,1122
2016,Nagpur,88,170,1943,136,233,1712,3,2,586,0,0,0,0,0,2188,63,49,776,66,169,2569,3,2,453,4,7,1558,0,0,278,0,0,0,5,20,4312,137,99,726,0,59,76,64,21329,30,38,32,8254,11,15,13,21,33,1310,-20,1122
1966,Nanded,32,10,313,29,11,379,301,160,532,2,0,182,1,1,1600,23,5,217,32,13,406,146,18,124,34,9,265,4,1,143,137,11,82,4,21,5325,182,14,77,4,82,3,3,426,18,1,1,0,0,0,0,21,34,793,15,822
1967,Nanded,26,12,462,25,8,320,313,255,817,2,1,261,1,1,1000,18,5,278,37,19,514,232,17,73,31,23,742,10,2,144,147,26,180,4,30,7071,182,17,93,4,77,2,2,426,23,1,1,0,0,0,0,21,33,962,20,847
1968,Nanded,26,14,541,23,13,578,269,201,746,3,1,357,0,0,667,18,7,385,38,20,528,60,18,295,31,22,714,10,1,144,56,25,452,5,40,8800,212,23,109,5,57,4,4,1658,32,2,2,572,11,1,1,20,33,899,26,802
1969,Nanded,26,15,576,23,12,520,267,168,629,2,1,350,0,0,667,19,5,280,39,19,478,63,18,287,30,21,689,9,1,148,53,23,442,5,35,6731,210,13,60,5,58,3,3,858,23,1,1,723,19,1,1,21,34,1004,35,873
1970,Nanded,26,14,545,18,6,313,279,70,252,1,1,429,0,0,500,18,2,126,39,18,468,71,1,9,29,13,462,10,2,186,50,16,321,3,23,7031,199,5,23,4,45,4,4,2014,32,3,3,1422,23,2,2,20,33,944,16,1000
1971,Nanded,25,8,310,29,10,352,286,100,350,2,0,167,0,0,500,24,5,228,38,16,410,61,2,26,31,17,561,5,1,176,58,19,333,3,18,5412,182,11,59,4,44,5,5,2668,35,4,4,1618,21,2,2,20,33,478,15,654
1972,Nanded,29,1,24,15,2,116,282,69,246,2,0,63,0,0,333,18,2,120,41,13,321,67,3,48,37,8,205,6,1,159,63,10,163,3,12,4500,182,8,42,3,60,5,5,752,12,1,1,1728,28,2,2,21,34,244,18,448
1973,Nanded,23,11,476,30,11,355,310,112,362,3,1,280,1,0,667,24,7,295,44,27,616,71,7,95,30,15,497,7,1,111,57,19,330,3,14,5231,166,13,77,4,55,6,6,2427,29,3,3,1338,16,2,2,21,34,863,17,1039
1974,Nanded,25,13,508,29,22,761,260,173,665,2,1,250,0,0,667,19,5,250,40,27,673,77,32,415,32,14,438,8,1,143,62,19,304,3,26,7559,192,24,122,5,56,8,8,2354,21,3,3,2625,23,4,3,20,33,806,29,739
1975,Nanded,25,29,1186,43,38,897,287,117,408,2,1,250,1,1,1000,22,6,285,42,28,656,67,8,118,34,11,330,9,1,136,67,16,244,5,31,6265,197,6,30,5,67,6,5,652,10,1,1,1439,23,2,2,20,33,1362,31,1249
1976,Nanded,38,38,1019,35,27,766,300,254,846,2,1,273,0,0,1333,18,5,276,40,15,383,65,25,381,32,8,260,7,1,113,58,13,229,6,36,6136,174,11,66,4,70,7,6,1195,18,2,2,810,12,1,1,21,33,929,42,802
1977,Nanded,37,57,1521,51,36,715,329,374,1137,2,1,421,0,0,2000,17,6,349,42,17,410,63,24,377,28,16,577,8,2,291,56,22,391,7,50,7217,182,20,109,4,72,6,5,948,16,1,1,707,12,1,1,21,33,890,43,877
1978,Nanded,38,39,1037,40,32,798,282,249,884,3,1,467,0,0,1500,16,3,213,37,16,423,65,25,382,20,6,308,8,2,289,47,11,239,6,40,6847,202,16,81,4,59,7,7,1948,22,3,2,1614,19,2,2,21,33,1133,45,953
1979,Nanded,35,39,1127,37,35,936,285,336,1179,2,1,500,1,1,2000,16,4,241,38,16,421,60,25,410,18,10,591,10,2,237,44,16,364,4,31,7381,217,20,92,5,63,9,8,2080,21,3,3,1654,16,2,2,22,33,992,41,851
1980,Nanded,34,44,1313,35,24,677,281,201,715,2,1,467,1,1,1800,15,3,214,40,13,337,54,15,274,17,9,532,9,2,187,41,23,547,5,37,7688,224,15,67,5,69,9,9,1904,19,3,2,1241,12,2,2,22,33,1003,42,988
1981,Nanded,34,54,1595,41,29,701,293,208,711,1,1,615,0,1,1500,17,4,236,41,18,444,55,16,290,16,8,457,9,2,176,40,12,311,7,49,7364,227,17,76,5,64,13,12,3258,22,4,4,2029,14,3,3,21,33,1220,46,1051
1982,Nanded,35,25,734,40,29,719,289,394,1364,1,1,417,1,1,1600,16,3,212,41,22,532,44,13,307,17,7,391,9,2,237,30,12,387,9,80,8944,222,19,85,4,62,10,10,2673,22,4,4,1822,15,3,2,22,33,979,37,931
1983,Nanded,36,40,1096,48,32,657,292,105,361,1,1,583,1,1,1333,18,5,266,39,19,485,47,15,324,20,10,523,9,2,237,30,14,458,7,42,5929,225,10,43,4,63,20,19,5313,23,7,7,3080,14,4,4,21,33,1490,44,1820
1984,Nanded,43,26,607,37,27,732,294,323,1099,1,0,300,0,0,1333,17,5,300,43,22,514,45,13,278,11,7,638,8,2,259,34,14,405,7,42,5845,209,26,123,4,59,20,19,6583,27,9,9,3217,13,4,4,21,33,699,41,614
1985,Nanded,38,27,696,26,17,660,305,234,768,1,0,222,0,1,1250,19,6,289,43,27,639,59,24,400,8,3,361,8,2,215,52,23,439,5,32,6038,214,26,122,5,66,33,31,7944,23,12,11,3667,11,5,5,21,34,869,44,703
1986,Nanded,31,13,419,18,9,500,299,148,496,0,0,0,0,0,500,12,3,250,42,14,333,74,23,310,7,3,429,8,1,152,46,14,295,4,18,4463,215,8,37,5,58,28,24,9936,30,15,13,3875,12,6,5,21,34,989,40,768
1987,Nanded,26,10,385,20,15,750,308,357,1157,1,0,286,1,1,1000,16,5,313,42,37,881,60,28,465,15,13,867,8,2,222,74,41,561,5,24,4725,209,25,120,5,52,38,33,16415,33,24,21,7672,15,11,10,21,34,926,47,799
