District,Year,Area,Production,Yield,Irrigated Area,Annual Rainfall,NITROGEN CONSUMPTION (tons),NITROGEN SHARE IN NPK (Percent),NITROGEN PER HA OF NCA (Kg per ha),NITROGEN PER HA OF GCA (Kg per ha),PHOSPHATE CONSUMPTION (tons),PHOSPHATE SHARE IN NPK (Percent),PHOSPHATE PER HA OF NCA (Kg per ha),PHOSPHATE PER HA OF GCA (Kg per ha),POTASH CONSUMPTION (tons),POTASH SHARE IN NPK (Percent),POTASH PER HA OF NCA (Kg per ha),POTASH PER HA OF GCA (Kg per ha),TOTAL CONSUMPTION (tons),TOTAL PER HA OF NCA (Kg per ha),FOREST AREA (1000 ha),BARREN AND UNCULTIVABLE LAND AREA (1000 ha),LAND PUT TO NONAGRICULTURAL USE AREA (1000 ha),CULTIVABLE WASTE LAND AREA (1000 ha),PERMANENT PASTURES AREA (1000 ha),OTHER FALLOW AREA (1000 ha),CURRENT FALLOW AREA (1000 ha),NET CROPPED AREA (1000 ha),GROSS CROPPED AREA (1000 ha),CROPING INTENSITY (Percent),Min Temp (Centigrate),Max Temp (Centigrate),Precipitation (mm),Evapotranspiration (mm)
Nagpur,2020,898.4892669390558,928.0743744401345,17274.00360256007,-21.612362936973675,1035.643313820673,51445.5001211458,58.7242610254575,85.03775121866585,69.1988080201169,21384.805502530795,28.854133297269115,40.17068784127624,44.526203039518016,11529.260260109857,11.590681866891567,20.34915766723509,16.172454565911217,78867.51700850073,179.71363339164068,157.72095765344818,36.66204543284724,103.80310157926789,33.79160590978351,42.47585980799222,23.95892214885382,19.899817430777038,542.1587792711267,651.945610244581,117.03955043288548,21.662518890888585,33.035296252033376,1268.8777474686858,844.3328221342922
Nagpur,2021,898.5086688161049,939.826984119572,17303.38604696107,-18.610104096908962,1035.0576183036799,51183.804693432765,59.24736022583774,82.53935574091224,70.45158800773669,20823.4359222922,28.263649797922273,39.12870543367559,45.41508240841887,11634.498118086663,11.633892412559005,20.415214323997024,16.060061448562298,80384.06257813214,185.54217248501112,157.16204413292223,37.14381012797351,104.58625758585131,33.54163510088043,41.1044371800777,23.9591348748965,19.933815896827046,542.1573777177232,653.8356108433767,115.94073680444563,21.769644851093023,33.04022873310872,1265.3578784629742,844.3222567959297
Nagpur,2022,898.5086865071752,951.5795933954313,17321.422866404995,-14.90020256939831,1034.4719227866867,50577.828682721665,59.70290657822379,79.58175852417895,71.70438776059302,20266.64814368917,27.76858219287709,38.10691154633086,46.30395793496261,11638.064333206776,11.663963121413945,20.289640227318042,15.839684648056647,81900.60791195981,191.1630755744185,156.6031280138621,37.62557388339852,105.36941354435595,33.34923933450314,39.7330032866162,23.959135068940192,19.95863537042487,542.1573764396753,655.725610897953,114.63375286858209,21.864116288514598,33.04516114462563,1260.7719770272406,844.3222471555902
Nagpur,2023,898.5086865093584,963.3322034784469,17325.66754153074,-10.67198059503827,1033.8862272696936,49663.049667704356,60.08533034290432,76.33395156557864,72.95716774821283,19723.34162509617,27.370177587302045,37.119326155522806,47.19283346150635,11545.348379155177,11.685590415029479,19.986122446236863,15.525932966750123,83417.15348159123,196.40486443672643,156.0442196904045,38.10733871276782,106.1525695028606,33.20904485029913,38.36158065870169,23.95913506896414,19.970257417638095,542.1573764395176,657.6156109525293,113.17566342623314,21.94307075518302,33.050093625700974,1255.3119598019898,844.3222471544004
Nagpur,2025,898.5086865093584,986.8374224337435,17287.257182626585,-1.3758584519804131,1032.7148362357073,47087.329449292476,60.62683958800531,69.59559601308058,75.46274748868896,18698.05810828481,26.850633517020203,35.27500543740699,48.97058067223671,11104.703036988174,11.718628256107381,18.92386072877609,14.680564215515258,86450.24433788957,204.96656648984475,154.9263900508184,39.07086716331909,107.71888151602742,33.05927199394264,35.61872413732567,23.95913506896414,19.943187054516702,542.1573764395176,661.3956105174625,110.06419902147101,22.046962175177086,33.05995842554865,1242.5613616619707,844.3222471544003
Nagpur,2030,898.5086865093584,1045.6004684094619,16926.2446239856,20.364061489995535,1029.7863616948812,38625.091805938966,60.90588957611077,56.117673198157306,81.72670672249757,16519.810455034174,26.777747176341663,31.37862971650508,53.41496214731252,9034.847774253536,11.83566045617052,14.741046590065249,11.965107275287817,94032.97162011768,207.16568961579503,152.13182244818864,41.47968781984666,111.63466147682632,33.13527988111024,28.761577201112132,23.95913506896414,19.572237294881607,542.1573764395176,670.8456102461246,103.87191660357956,21.994487188806747,33.08462062225007,1208.3660046601162,844.3222471544003
Nagpur,2035,898.5086865093584,1104.3635159994926,16348.810399856102,33.531925957441686,1026.8578841099154,31202.221017543787,60.452370528229885,49.45873628237375,87.99065607368789,14744.017193974956,27.43327360074372,28.14025989463476,57.859339780031206,6667.648098304966,12.016108586670471,10.49905281371501,9.388602981702906,101615.69885518502,178.59638611798772,149.33725224702468,43.88850941607548,115.55044136550708,33.366847983977145,21.904430264898593,23.95913506896414,18.984280057733155,542.1573764395176,680.2956105190062,102.59242808069487,21.6940932575451,33.109282795765345,1182.5311944935863,844.3222471544003
Nagpur,2040,898.5086865093584,1163.1265619752107,15818.449702132133,38.834313076432984,1023.9294065249495,26757.669703044347,60.02049248172649,46.01010859342703,94.25460542487824,13365.475540477097,27.973757272665527,25.578476359806405,62.303717412749904,4865.225578626657,12.17045938728123,7.559409172304143,7.524627833120042,109198.42618457388,137.70313406427522,146.54268204586072,46.29733074381822,119.46622125418784,33.508365709264446,15.047294594232042,23.95913506896414,18.5012012801221,542.1573764395176,689.7456102476683,104.56234333159425,21.42941562239593,33.133944992466766,1168.696008633869,844.3222471544003
Nagpur,2045,898.5086865093584,1221.8896095652417,15482.63582264674,40.256281702304605,1021.0009319841233,24743.843404153587,59.807971172146814,43.527860942483215,100.5185448934503,12504.299548039864,28.225990761437,23.967738809173532,66.74809504546859,3832.1556847026623,12.25518164492075,5.98933192304179,6.4434710349275255,116781.15346680197,106.19748458142433,143.74811704176514,48.7061518030749,123.38200121498676,33.56210700018729,8.190147658018503,23.95913506896414,18.23688297950609,542.1573764395176,699.1956099763305,106.73217053853347,21.29892225177475,33.15860707323747,1163.124471739603,844.3222471544003
Nagpur,2050,898.5086865093584,1280.6526563481161,15328.02829566768,40.471739902564394,1018.0724513550178,24025.16715423709,59.73815462634756,41.953011727578804,106.7825041272589,12099.82892646234,28.306027241014256,23.211224967907285,71.19247267818729,3375.509927541665,12.28802142342509,5.325475573099685,5.948894919735993,124363.88070186932,90.07761198402585,140.95354684060118,51.11497353354675,127.29778115174628,33.57672695373257,1.3330007218049786,23.95913506896414,18.132218412457913,542.1573764395176,708.645610249212,107.91593021546433,21.258620208642323,33.18326926993889,1161.3931975164528,844.3222471544003
Nanded,2018,1297.605630498279,1151.4173881373138,18137.52337532058,-23.056809832070705,618.0590442000419,88083.1373108766,52.4669460353703,125.44274403658807,101.39806975849164,51683.3648364518,33.380133984091145,70.70071204831294,52.252334751840024,23948.790748976608,15.962268443087785,33.26359826320116,27.474310211378192,154919.66736975464,210.26228082972273,81.523037750815,19.432711303194235,51.971407313665566,38.09669120211652,47.97361708639299,19.036387848541363,64.9132613337621,702.6486057240753,875.0483492972194,123.18181882809887,21.43260983011,34.051418520755895,1025.1853156057825,811.8115375597279
Nanded,2019,1290.0319850205879,1163.9850719592514,17032.932881390556,-19.157926430164288,631.6529872416677,89980.96715064616,52.882276528082045,128.16662118952127,103.54097298022646,50448.10286741902,33.03749767306484,68.56184970604575,50.035812329623326,24469.094936383975,14.929804132162454,33.9849935166566,28.061130945606976,150571.22472552385,200.46406938142218,81.17048054172425,19.4142857755926,54.380747253256224,38.314936299081246,47.56875610149827,19.716994908790312,64.34581123293631,702.0628914585952,877.6322200764068,123.60138636138095,21.447401633580085,34.07615995422937,1026.7811076222697,794.1773343783806
Nanded,2020,1281.2171645559729,1176.552755185452,15855.40417292444,-14.205218258205356,646.3438261132723,91878.8004605174,53.308122369089965,130.89049830443892,105.68387632404256,49010.05868693067,32.664492388781035,66.16694374630278,47.74939880366844,24989.39942224984,14.87675270528028,34.706388350019715,28.647949009810894,146457.86757662686,190.57267525204963,80.86537476534166,19.41334504010554,56.61788148650088,38.53318396107032,47.16389526799545,20.510222225115115,63.879579164885264,701.4771771731316,880.2160910807934,124.02095470159037,21.462193195596672,34.093415635266744,1028.3768992251307,793.2744209945564
Nanded,2021,1271.5016424118437,1189.120438411653,14664.464354909529,-8.482134203682932,661.5924152957065,93776.63377038864,53.731844652647375,133.61437545737212,107.82677936265546,47421.14085257441,32.27238906381902,63.60061305107195,45.46639106822265,25509.703609657212,14.876393773442535,35.42778318338283,29.234767074014812,142816.78990825062,181.0501946717111,80.61523149877573,19.413338678609563,58.59670330244009,38.7514316230594,46.75903428310073,21.366965590083055,63.511684401236266,700.8914628876679,882.79996208518,124.44052223487245,21.476984757613263,34.102982035356874,1029.9726912416177,793.2683142466049
Nanded,2022,1261.2225783821928,1201.6881216378536,13519.536140005977,-2.278259122658369,676.9064288804145,95674.46708025988,54.142751459245574,136.33825261030535,109.96968270647154,45731.86393795299,31.87177722812593,60.94325234813359,43.24999573690338,26030.00779706458,14.876393445957623,36.14917843683827,29.82158513821873,139811.3068079441,172.2784887505205,80.42465731152409,19.413338672805782,60.24554889993772,38.969676720024125,46.35417344959791,22.238147980170318,63.23399616173121,700.3057486221879,885.3838330895666,124.8600900371303,21.4917764403566,34.10492356659631,1031.5684828444787,793.268308675134
Nanded,2023,1250.6994516866919,1214.2558048640542,12475.447645929999,4.126764377449405,691.8568298894804,97572.30039013113,54.532314844507425,139.06212972522297,112.11258592820636,43989.30914329045,31.472219522881357,58.26781899608062,41.151264948326954,26550.31258138894,14.876393445917206,36.87057327020139,30.408403202422654,137523.69542365056,164.53869532653334,80.29530211205505,19.413338672805065,61.5109517192043,39.18792438201321,45.94931246470318,23.077788082262956,63.03457368639655,699.7200343367242,887.9677040939532,125.27965810836395,21.50656836455343,34.09955593541031,1033.1642748609659,793.2683086744463
Nanded,2025,1230.0427997573195,1239.3911713164557,10864.852592292318,16.550683336493154,719.3267428183615,101367.96700987362,55.22432736595982,144.5098840310894,116.39839243271663,40506.771699110344,30.70798972384702,53.10426541127893,37.44525763128145,27590.92125466217,14.876393445917204,38.31336325199686,31.58203933083049,135038.3228541448,152.72555256909186,80.21316916422846,19.413338672805065,62.780218133934625,39.62441714096701,45.13959094908943,24.508244537630485,62.81259966177223,698.5486057857805,893.1354461027264,126.11879344390388,21.536151488586608,34.0692323927308,1036.355858066688,793.2683086744463
