Year,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),SORGHUM YIELD (Kg per ha),PEARL MILLET AREA (1000 ha),PEARL MILLET PRODUCTION (1000 tons),PEARL MILLET YIELD (Kg per ha),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),MAIZE YIELD (Kg per ha),CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),CHICKPEA YIELD (Kg per ha),PIGEONPEA AREA (1000 ha),PIGEONPEA PRODUCTION (1000 tons),PIGEONPEA YIELD (Kg per ha),MINOR PULSES AREA (1000 ha),MINOR PULSES PRODUCTION (1000 tons),MINOR PULSES YIELD (Kg per ha),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 tons),GROUNDNUT YIELD (Kg per ha),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 tons),SESAMUM YIELD (Kg per ha),OILSEEDS AREA (1000 ha),OILSEEDS PRODUCTION (1000 tons),OILSEEDS YIELD (Kg per ha),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons),SUGARCANE YIELD (Kg per ha),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),FRUITS AND VEGETABLES AREA (1000 ha),NITROGEN SHARE IN NPK (Percent),NITROGEN PER HA OF NCA (Kg per ha),NITROGEN PER HA OF GCA (Kg per ha),PHOSPHATE CONSUMPTION (tons),PHOSPHATE SHARE IN NPK (Percent),PHOSPHATE PER HA OF NCA (Kg per ha),PHOSPHATE PER HA OF GCA (Kg per ha),POTASH CONSUMPTION (tons),POTASH SHARE IN NPK (Percent),POTASH PER HA OF NCA (Kg per ha),POTASH PER HA OF GCA (Kg per ha),Min Temp (Centigrate),Max Temp (Centigrate),Precipitation (mm),Irrigated Area,Annual Rainfall
1977,Jalgaon,12.0,22.0,1858.0,48.0,51.0,1067.0,256.0,368.0,1434.0,81.0,52.0,650.0,1.0,1.0,1667.0,8.0,4.0,550.0,10.0,7.0,714.0,212.0,98.0,461.0,92.0,63.0,679.0,11.0,3.0,309.0,110.0,68.0,614.0,9.0,85.0,10024.0,138.0,17.0,123.0,42.0,58.0,24.0,21.0,7251.0,21.0,9.0,8.0,6961.0,21.0,9.0,8.0,21.0,34.0,746.0,121.0,755.0
1978,Jalgaon,10.0,15.0,1530.0,56.0,50.0,897.0,238.0,293.0,1230.0,88.0,53.0,599.0,1.0,1.0,1600.0,6.0,3.0,484.0,11.0,10.0,841.0,192.0,81.0,423.0,75.0,34.0,455.0,11.0,3.0,304.0,92.0,39.0,422.0,8.0,58.0,7110.0,185.0,21.0,111.0,44.0,55.0,28.0,25.0,10814.0,26.0,13.0,12.0,7835.0,19.0,10.0,8.0,20.0,34.0,747.0,123.0,647.0
1979,Jalgaon,10.0,14.0,1359.0,61.0,50.0,825.0,252.0,345.0,1368.0,94.0,48.0,505.0,1.0,1.0,1714.0,7.0,4.0,538.0,12.0,11.0,886.0,168.0,71.0,421.0,68.0,59.0,871.0,14.0,4.0,250.0,93.0,65.0,694.0,6.0,45.0,7724.0,200.0,25.0,126.0,44.0,57.0,34.0,29.0,11203.0,23.0,14.0,12.0,9666.0,20.0,12.0,10.0,21.0,34.0,888.0,122.0,843.0
1980,Jalgaon,9.0,17.0,1828.0,50.0,57.0,1129.0,244.0,293.0,1203.0,97.0,55.0,572.0,1.0,1.0,1000.0,6.0,3.0,492.0,13.0,10.0,756.0,152.0,45.0,294.0,67.0,52.0,783.0,13.0,3.0,201.0,78.0,41.0,529.0,7.0,53.0,7955.0,206.0,19.0,91.0,46.0,54.0,27.0,24.0,10752.0,26.0,13.0,12.0,8526.0,21.0,10.0,9.0,21.0,34.0,722.0,138.0,661.0
1981,Jalgaon,9.0,14.0,1632.0,53.0,70.0,1319.0,257.0,349.0,1357.0,107.0,71.0,662.0,1.0,2.0,1875.0,7.0,4.0,545.0,13.0,10.0,806.0,161.0,68.0,421.0,63.0,42.0,672.0,13.0,2.0,192.0,85.0,59.0,689.0,8.0,74.0,9880.0,209.0,22.0,104.0,48.0,60.0,39.0,34.0,12142.0,23.0,15.0,13.0,9065.0,17.0,11.0,10.0,20.0,34.0,882.0,158.0,772.0
1982,Jalgaon,9.0,13.0,1471.0,43.0,45.0,1061.0,255.0,291.0,1141.0,108.0,52.0,484.0,1.0,1.0,875.0,6.0,3.0,476.0,13.0,8.0,606.0,143.0,73.0,510.0,67.0,39.0,578.0,14.0,4.0,255.0,77.0,37.0,487.0,9.0,87.0,9333.0,204.0,24.0,117.0,42.0,58.0,34.0,31.0,9470.0,20.0,11.0,10.0,10876.0,22.0,13.0,12.0,21.0,34.0,583.0,127.0,534.0
1983,Jalgaon,8.0,14.0,1675.0,56.0,60.0,1079.0,275.0,363.0,1317.0,118.0,77.0,657.0,1.0,1.0,1400.0,7.0,4.0,606.0,13.0,11.0,831.0,129.0,51.0,394.0,76.0,59.0,772.0,14.0,4.0,255.0,84.0,56.0,669.0,10.0,80.0,8379.0,207.0,12.0,58.0,43.0,62.0,52.0,48.0,13365.0,19.0,16.0,15.0,12606.0,18.0,15.0,14.0,20.0,33.0,944.0,126.0,799.0
1984,Jalgaon,9.0,14.0,1562.0,43.0,33.0,765.0,263.0,286.0,1085.0,115.0,64.0,554.0,1.0,1.0,1556.0,13.0,7.0,546.0,15.0,12.0,777.0,121.0,38.0,316.0,77.0,51.0,664.0,24.0,8.0,350.0,84.0,44.0,525.0,8.0,79.0,9975.0,186.0,20.0,108.0,44.0,64.0,47.0,42.0,13307.0,22.0,16.0,15.0,8503.0,14.0,10.0,9.0,20.0,34.0,618.0,122.0,557.0
1985,Jalgaon,8.0,4.0,507.0,43.0,33.0,769.0,271.0,216.0,796.0,119.0,50.0,421.0,1.0,1.0,1222.0,19.0,6.0,305.0,16.0,14.0,869.0,123.0,43.0,354.0,69.0,25.0,356.0,25.0,7.0,270.0,98.0,30.0,309.0,8.0,73.0,9760.0,197.0,22.0,111.0,44.0,57.0,44.0,38.0,17246.0,25.0,20.0,17.0,12027.0,18.0,14.0,12.0,20.0,34.0,662.0,118.0,538.0
1986,Jalgaon,7.0,4.0,571.0,41.0,32.0,780.0,265.0,271.0,1024.0,128.0,63.0,492.0,1.0,1.0,1000.0,18.0,7.0,389.0,15.0,9.0,600.0,119.0,53.0,449.0,64.0,15.0,234.0,17.0,6.0,349.0,88.0,27.0,302.0,8.0,70.0,8422.0,186.0,11.0,59.0,44.0,58.0,49.0,43.0,17337.0,25.0,21.0,19.0,11234.0,17.0,14.0,12.0,20.0,35.0,705.0,117.0,558.0
1987,Jalgaon,7.0,5.0,714.0,49.0,48.0,980.0,299.0,445.0,1486.0,131.0,166.0,1267.0,1.0,1.0,1000.0,32.0,18.0,563.0,16.0,10.0,625.0,128.0,50.0,386.0,61.0,47.0,770.0,22.0,8.0,377.0,104.0,69.0,666.0,9.0,66.0,7404.0,158.0,18.0,114.0,43.0,61.0,50.0,42.0,16650.0,24.0,20.0,17.0,10769.0,16.0,13.0,11.0,21.0,35.0,691.0,151.0,762.0
1988,Jalgaon,6.0,5.0,929.0,31.0,47.0,1505.0,292.0,396.0,1354.0,131.0,96.0,738.0,1.0,1.0,1000.0,41.0,32.0,782.0,18.0,14.0,788.0,121.0,56.0,462.0,75.0,72.0,961.0,95.0,19.0,202.0,194.0,107.0,554.0,9.0,62.0,7256.0,156.0,21.0,134.0,45.0,61.0,49.0,40.0,17411.0,25.0,20.0,17.0,9118.0,13.0,11.0,9.0,21.0,35.0,1055.0,190.0,860.0
1989,Jalgaon,6.0,6.0,1088.0,33.0,49.0,1494.0,288.0,496.0,1726.0,128.0,128.0,1000.0,0.0,0.0,0.0,46.0,31.0,678.0,20.0,20.0,975.0,121.0,58.0,481.0,61.0,64.0,1054.0,79.0,25.0,316.0,165.0,109.0,664.0,10.0,87.0,8365.0,165.0,34.0,203.0,52.0,57.0,94.0,77.0,33750.0,24.0,39.0,32.0,26095.0,19.0,30.0,25.0,20.0,34.0,654.0,195.0,821.0
1990,Jalgaon,6.0,4.0,684.0,35.0,56.0,1584.0,279.0,421.0,1506.0,121.0,119.0,987.0,1.0,1.0,1400.0,54.0,39.0,716.0,22.0,18.0,823.0,123.0,60.0,487.0,66.0,71.0,1068.0,63.0,27.0,431.0,158.0,117.0,740.0,12.0,95.0,8095.0,189.0,32.0,171.0,55.0,54.0,82.0,65.0,33067.0,25.0,39.0,31.0,27684.0,21.0,32.0,26.0,20.0,34.0,949.0,202.0,1009.0
1991,Jalgaon,7.0,6.0,851.0,32.0,34.0,1050.0,226.0,273.0,1205.0,100.0,72.0,721.0,0.0,0.0,0.0,33.0,23.0,684.0,23.0,14.0,619.0,127.0,28.0,222.0,54.0,30.0,558.0,78.0,24.0,306.0,147.0,61.0,415.0,15.0,107.0,7153.0,204.0,19.0,93.0,51.0,57.0,79.0,65.0,25549.0,22.0,31.0,25.0,23227.0,20.0,28.0,23.0,20.0,34.0,494.0,185.0,560.0
1992,Jalgaon,2.0,2.0,1176.0,36.0,60.0,1682.0,280.0,574.0,2049.0,114.0,145.0,1269.0,1.0,1.0,833.0,46.0,33.0,717.0,23.0,21.0,913.0,117.0,92.0,786.0,42.0,48.0,1120.0,74.0,35.0,468.0,145.0,101.0,697.0,10.0,80.0,8059.0,175.0,34.0,196.0,51.0,67.0,90.0,69.0,24745.0,22.0,30.0,23.0,12374.0,11.0,15.0,11.0,20.0,34.0,673.0,202.0,742.0
1993,Jalgaon,1.0,1.0,1083.0,32.0,65.0,2063.0,281.0,489.0,1743.0,101.0,110.0,1090.0,6.0,11.0,1714.0,50.0,40.0,803.0,26.0,26.0,1023.0,104.0,73.0,698.0,35.0,36.0,1046.0,71.0,26.0,363.0,135.0,82.0,607.0,10.0,89.0,8710.0,210.0,43.0,207.0,52.0,66.0,85.0,64.0,19444.0,18.0,23.0,17.0,17141.0,16.0,20.0,15.0,21.0,34.0,800.0,189.0,690.0
1994,Jalgaon,1.0,1.0,1000.0,37.0,80.0,2162.0,256.0,450.0,1760.0,92.0,99.0,1074.0,12.0,21.0,1677.0,55.0,45.0,809.0,26.0,20.0,760.0,108.0,67.0,620.0,37.0,45.0,1217.0,66.0,16.0,240.0,124.0,76.0,610.0,19.0,158.0,8563.0,263.0,59.0,223.0,53.0,63.0,88.0,65.0,26678.0,22.0,31.0,23.0,17658.0,15.0,21.0,15.0,20.0,34.0,974.0,214.0,660.0
1995,Jalgaon,2.0,2.0,938.0,31.0,45.0,1457.0,249.0,383.0,1535.0,91.0,61.0,669.0,8.0,13.0,1628.0,47.0,29.0,611.0,26.0,18.0,703.0,93.0,38.0,406.0,26.0,22.0,862.0,61.0,18.0,294.0,81.0,46.0,564.0,18.0,150.0,8478.0,278.0,53.0,192.0,52.0,62.0,83.0,63.0,23442.0,21.0,28.0,21.0,19589.0,17.0,23.0,17.0,20.0,34.0,781.0,206.0,615.0
1996,Jalgaon,2.0,2.0,1176.0,40.0,74.0,1869.0,241.0,465.0,1930.0,89.0,112.0,1264.0,8.0,11.0,1500.0,57.0,45.0,790.0,24.0,17.0,721.0,95.0,63.0,662.0,29.0,33.0,1149.0,37.0,14.0,378.0,76.0,57.0,755.0,14.0,119.0,8294.0,290.0,76.0,262.0,50.0,64.0,84.0,61.0,26572.0,24.0,31.0,23.0,13933.0,12.0,16.0,12.0,21.0,35.0,836.0,211.0,677.0
1997,Jalgaon,2.0,2.0,941.0,32.0,42.0,1323.0,206.0,368.0,1784.0,81.0,94.0,1158.0,9.0,13.0,1494.0,50.0,32.0,642.0,24.0,7.0,305.0,106.0,58.0,541.0,24.0,24.0,1000.0,28.0,10.0,373.0,61.0,36.0,588.0,16.0,84.0,5273.0,288.0,53.0,185.0,51.0,58.0,105.0,92.0,35287.0,24.0,43.0,38.0,26336.0,18.0,32.0,28.0,20.0,34.0,703.0,199.0,934.0
1998,Jalgaon,2.0,2.0,1056.0,44.0,72.0,1648.0,219.0,394.0,1804.0,72.0,81.0,1121.0,9.0,18.0,2047.0,57.0,40.0,699.0,24.0,14.0,570.0,99.0,64.0,647.0,21.0,24.0,1148.0,25.0,10.0,407.0,52.0,40.0,760.0,11.0,102.0,9573.0,372.0,83.0,224.0,13.0,57.0,91.0,73.0,36966.0,28.0,45.0,36.0,19108.0,15.0,23.0,19.0,21.0,35.0,794.0,202.0,1062.0
1999,Jalgaon,2.0,2.0,944.0,47.0,88.0,1883.0,220.0,334.0,1522.0,67.0,69.0,1019.0,9.0,15.0,1609.0,61.0,48.0,789.0,25.0,14.0,558.0,105.0,37.0,348.0,17.0,16.0,936.0,24.0,9.0,390.0,48.0,31.0,653.0,10.0,90.0,9271.0,333.0,79.0,239.0,46.0,55.0,109.0,86.0,44328.0,29.0,58.0,46.0,23355.0,15.0,30.0,24.0,20.0,34.0,760.0,209.0,605.0
2000,Jalgaon,2.0,2.0,1235.0,23.0,32.0,1398.0,170.0,195.0,1148.0,64.0,36.0,560.0,10.0,6.0,660.0,25.0,17.0,675.0,26.0,9.0,331.0,105.0,30.0,284.0,11.0,6.0,558.0,26.0,6.0,224.0,43.0,16.0,377.0,15.0,120.0,8299.0,412.0,48.0,116.0,46.0,55.0,82.0,52.0,29096.0,23.0,34.0,22.0,27641.0,22.0,32.0,21.0,20.0,35.0,587.0,166.0,496.0
2001,Jalgaon,1.0,1.0,583.0,24.0,39.0,1651.0,173.0,254.0,1468.0,63.0,54.0,864.0,10.0,18.0,1828.0,27.0,24.0,900.0,28.0,18.0,634.0,103.0,59.0,575.0,8.0,6.0,727.0,26.0,11.0,411.0,38.0,21.0,554.0,14.0,101.0,7462.0,403.0,86.0,213.0,39.0,54.0,73.0,47.0,25088.0,22.0,29.0,19.0,27252.0,24.0,32.0,21.0,20.0,34.0,510.0,158.0,654.0
2002,Jalgaon,1.0,1.0,889.0,28.0,53.0,1921.0,187.0,380.0,2026.0,64.0,65.0,1017.0,14.0,40.0,2811.0,35.0,36.0,1020.0,25.0,18.0,731.0,113.0,76.0,670.0,8.0,9.0,1024.0,26.0,12.0,458.0,39.0,30.0,756.0,12.0,86.0,7125.0,384.0,80.0,207.0,41.0,59.0,83.0,53.0,28818.0,24.0,34.0,22.0,21175.0,18.0,25.0,16.0,21.0,35.0,596.0,176.0,769.0
2003,Jalgaon,1.0,1.0,1222.0,33.0,62.0,1864.0,189.0,340.0,1801.0,62.0,64.0,1034.0,16.0,52.0,3231.0,45.0,38.0,853.0,26.0,18.0,709.0,113.0,65.0,572.0,9.0,9.0,1046.0,30.0,12.0,401.0,43.0,30.0,703.0,13.0,44.0,3384.0,384.0,88.0,228.0,43.0,57.0,83.0,52.0,27599.0,22.0,32.0,20.0,26368.0,21.0,31.0,19.0,21.0,35.0,637.0,112.0,935.0
2004,Jalgaon,0.0,0.0,1000.0,38.0,78.0,2023.0,172.0,305.0,1774.0,59.0,57.0,974.0,21.0,44.0,2066.0,52.0,50.0,958.0,26.0,18.0,710.0,99.0,39.0,391.0,8.0,8.0,987.0,26.0,8.0,291.0,44.0,34.0,780.0,15.0,92.0,6192.0,396.0,105.0,265.0,39.0,50.0,84.0,50.0,39264.0,28.0,46.0,28.0,32278.0,23.0,38.0,23.0,21.0,35.0,771.0,146.0,648.0
2005,Jalgaon,0.0,0.0,1500.0,36.0,67.0,1845.0,160.0,306.0,1909.0,60.0,44.0,737.0,29.0,95.0,3249.0,48.0,41.0,866.0,29.0,20.0,696.0,102.0,42.0,410.0,6.0,6.0,1071.0,1.0,0.0,286.0,49.0,43.0,871.0,17.0,110.0,6465.0,393.0,103.0,261.0,47.0,49.0,82.0,80.0,37005.0,26.0,43.0,42.0,36001.0,25.0,42.0,41.0,20.0,34.0,872.0,121.0,541.0
2006,Jalgaon,0.0,0.0,1000.0,51.0,112.0,2203.0,164.0,296.0,1810.0,53.0,56.0,1061.0,46.0,134.0,2906.0,59.0,57.0,963.0,31.0,24.0,765.0,98.0,50.0,509.0,6.0,7.0,1196.0,26.0,10.0,371.0,62.0,70.0,1119.0,19.0,124.0,6587.0,421.0,137.0,325.0,0.0,48.0,94.0,59.0,45070.0,27.0,53.0,33.0,41484.0,25.0,49.0,31.0,20.0,34.0,1100.0,151.0,1239.0
2007,Jalgaon,0.0,0.0,1400.0,53.0,138.0,2618.0,151.0,330.0,2189.0,59.0,60.0,1013.0,69.0,195.0,2815.0,38.0,42.0,1116.0,30.0,23.0,776.0,107.0,61.0,571.0,8.0,8.0,1014.0,22.0,10.0,437.0,59.0,66.0,1122.0,22.0,149.0,6645.0,416.0,161.0,388.0,0.0,48.0,111.0,72.0,48087.0,24.0,57.0,37.0,54208.0,28.0,64.0,42.0,21.0,35.0,798.0,131.0,595.0
2008,Jalgaon,0.0,0.0,0.0,32.0,65.0,2044.0,45.0,69.0,1528.0,33.0,34.0,1024.0,75.0,191.0,2554.0,28.0,27.0,989.0,14.0,9.0,616.0,87.0,38.0,439.0,5.0,6.0,1163.0,12.0,4.0,331.0,48.0,51.0,1054.0,12.0,76.0,6537.0,435.0,133.0,305.0,0.0,50.0,130.0,88.0,53760.0,24.0,63.0,42.0,59126.0,26.0,70.0,47.0,21.0,34.0,649.0,104.0,547.0
2009,Jalgaon,0.0,0.0,450.0,51.0,110.0,2161.0,166.0,311.0,1866.0,33.0,36.0,1086.0,87.0,198.0,2273.0,57.0,66.0,1145.0,15.0,11.0,726.0,86.0,41.0,477.0,6.0,9.0,1502.0,13.0,5.0,402.0,50.0,62.0,1231.0,10.0,68.0,7035.0,414.0,116.0,282.0,0.0,49.0,145.0,101.0,65137.0,26.0,77.0,53.0,62156.0,25.0,73.0,51.0,22.0,35.0,833.0,-20.0,595.0
2010,Jalgaon,0.0,0.0,0.0,66.0,165.0,2494.0,172.0,361.0,2099.0,36.0,50.0,1391.0,89.0,286.0,3234.0,71.0,82.0,1164.0,16.0,14.0,891.0,89.0,61.0,682.0,5.0,7.0,1420.0,15.0,7.0,506.0,38.0,44.0,1143.0,11.0,88.0,7830.0,510.0,187.0,366.0,0.0,45.0,164.0,127.0,81355.0,26.0,96.0,74.0,89841.0,29.0,106.0,82.0,21.0,35.0,969.0,-20.0,547.0
2011,Jalgaon,0.0,0.0,1500.0,26.0,60.0,2325.0,103.0,218.0,2110.0,17.0,24.0,1426.0,79.0,273.0,3445.0,36.0,47.0,1302.0,17.0,13.0,785.0,81.0,57.0,703.0,4.0,5.0,1403.0,8.0,4.0,543.0,29.0,42.0,1442.0,11.0,82.0,7321.0,549.0,177.0,322.0,53.0,52.0,120.0,111.0,52511.0,27.0,62.0,57.0,43330.0,22.0,51.0,47.0,21.0,35.0,818.0,-20.0,595.0
2012,Jalgaon,0.0,0.0,0.0,25.0,53.0,2094.0,103.0,178.0,1729.0,18.0,18.0,1034.0,82.0,220.0,2679.0,34.0,25.0,725.0,18.0,12.0,629.0,84.0,41.0,495.0,3.0,4.0,1286.0,7.0,3.0,377.0,26.0,32.0,1225.0,11.0,76.0,6901.0,559.0,145.0,260.0,51.0,53.0,110.0,80.0,37787.0,21.0,45.0,32.0,45512.0,26.0,54.0,39.0,21.0,35.0,738.0,-20.0,408.0
2013,Jalgaon,0.0,0.0,0.0,25.0,65.0,2561.0,103.0,219.0,2116.0,18.0,21.0,1175.0,88.0,305.0,3481.0,34.0,40.0,1157.0,18.0,20.0,1109.0,82.0,56.0,679.0,3.0,4.0,1161.0,7.0,3.0,370.0,39.0,63.0,1602.0,12.0,88.0,7549.0,559.0,271.0,484.0,0.0,54.0,133.0,97.0,42771.0,20.0,50.0,37.0,52694.0,25.0,62.0,45.0,20.0,34.0,1052.0,-20.0,929.0
2014,Jalgaon,0.0,0.0,0.0,50.0,81.0,1635.0,86.0,165.0,1917.0,19.0,23.0,1221.0,154.0,447.0,2899.0,52.0,54.0,1054.0,16.0,8.0,526.0,59.0,32.0,548.0,5.0,5.0,1083.0,3.0,1.0,353.0,34.0,43.0,1246.0,8.0,55.0,7008.0,471.0,138.0,293.0,0.0,52.0,140.0,102.0,45624.0,20.0,54.0,39.0,62580.0,28.0,74.0,54.0,21.0,35.0,708.0,-20.0,749.0
2015,Jalgaon,0.0,0.0,0.0,42.0,64.0,1501.0,82.0,99.0,1200.0,18.0,11.0,620.0,149.0,261.0,1752.0,49.0,47.0,947.0,16.0,8.0,497.0,60.0,19.0,316.0,5.0,3.0,711.0,3.0,1.0,194.0,41.0,22.0,537.0,10.0,78.0,7766.0,462.0,109.0,236.0,0.0,48.0,117.0,86.0,46836.0,23.0,55.0,40.0,59641.0,29.0,70.0,51.0,22.0,35.0,849.0,-20.0,495.0
2016,Jalgaon,0.0,0.0,0.0,53.0,106.0,2013.0,89.0,180.0,2025.0,21.0,29.0,1400.0,198.0,670.0,3392.0,64.0,89.0,1387.0,20.0,21.0,1082.0,63.0,45.0,709.0,5.0,7.0,1388.0,3.0,1.0,259.0,0.0,0.0,0.0,9.0,85.0,9232.0,504.0,263.0,522.0,0.0,50.0,126.0,86.0,45941.0,22.0,54.0,37.0,59564.0,28.0,70.0,48.0,22.0,35.0,849.0,-20.0,495.0
2017,Jalgaon,-3.8934355277724873e-208,3.8934355277724873e-208,221.96789072059693,46.20833208343636,91.9753928602403,1885.1816096758164,88.04900608908372,181.032787571336,1802.71761337187,21.0,21.997467551210807,1236.3776910684269,203.1654581032943,451.7483926008098,3010.9616585217573,61.16026403773167,89.0,1158.0692872207287,20.0,18.869865172967433,847.957741500678,53.3,61.11814186693102,602.6438883051466,5.0,5.499474459029361,1155.474743683815,5.710921188492714,0.9216906359145881,259.0,-7.105427357601002e-15,11.969953088335995,-1.1368683772161603e-13,8.606927947570046,81.01818239948804,8224.62701506706,504.0,133.57106450644648,338.05278707695163,5.9538522107850245,49.29560410750156,128.77640261043538,90.83015182747657,45941.0,24.74353363283172,54.0,42.30989244461897,59379.33946111492,28.900916428569875,72.38578304026979,50.545802136691755,21.256036906392083,34.76574203186868,764.7647058823527,-19.42415947181893,704.9803921568626
2018,Jalgaon,-3.893435527772487e-208,3.893435527772488e-208,307.7378184840702,43.34235928105534,80.26959767061402,1885.204441986741,88.04931893727856,173.24819328589405,1802.731376951034,21.0,21.569799127764192,1255.0520974425915,243.9309097155391,659.2824759314312,3057.5391013281487,57.336638966293464,89.0,1173.877724041354,20.0,15.316577672861438,610.9189279453682,43.6,55.83945223904276,610.8057102996378,5.0,5.499163175536542,1155.4906641428454,7.989361843269217,0.849735628557084,259.0,-7.105427357601002e-15,18.3357583379795,-1.1368683772161603e-13,9.498056035850238,77.74299829674587,7897.123655807158,504.0,141.2539622033324,284.61534239245356,7.92737304823589,49.0355009754741,131.24261793047805,92.55037968223118,45941.0,22.794511274140493,54.0,47.35273495672365,59379.28697125285,29.40591580102704,73.8291223242469,52.181754873198386,21.255572517317205,34.765403367720474,764.7647058823529,-18.868143402986508,704.9803921568626
2019,Jalgaon,-3.893435527772487e-208,3.893435527772488e-208,416.0599196572141,42.13247055403612,92.6517556798167,1885.2163600757985,88.04943507152922,189.53722064888058,1802.7387001769223,21.0,21.153806597193455,1305.691521606899,255.7725072773947,696.7863947438209,3104.109105405675,58.38854142417072,89.0,1189.7095675366197,20.0,15.316734845832235,738.4770626837344,33.900000000000006,54.37306914270809,618.9407174876503,5.0,5.499021090667348,1155.5009832645983,9.905071424531247,0.7835959862555439,259.0,-7.105427357601002e-15,32.8961989291788,-1.1368683772161603e-13,9.498047028229905,77.66372588976809,7791.001698885413,504.0,261.8969209155752,488.43301337091583,7.9326331697382955,48.750376903544456,133.70850397899844,94.26964876648472,45941.0,22.893021827839632,54.0,51.238748131029375,59379.26708033545,29.910837591707995,75.27225196231589,53.46178488076764,21.25524469044714,34.765132065071754,764.7647058823529,-18.331046766952774,704.9803921568628
2020,Jalgaon,-3.893435527772487e-208,3.893435527772488e-208,486.835349934126,41.62092914412756,91.5396409600554,1885.2220503594413,88.04947845188248,196.7276213561918,1802.7435683735262,21.0,20.748013927660825,1297.4731910989556,291.12258344579277,776.9236753857152,3150.6613836149145,59.43886802231782,89.0,1205.5641751009264,20.0,15.316197188171557,786.7925279881262,24.200000000000006,55.439974845029475,627.0552131063175,5.0,5.498956077516815,1155.5077870656319,11.51638946515424,0.722781006284482,259.0,-7.105427357601002e-15,40.14935835725274,-1.1368683772161603e-13,9.49870866505804,78.5164634502521,7756.631810792569,504.0,131.82328779791516,371.41851965035096,7.936368341521435,48.465610505453995,136.17423859363322,95.98873263145796,45941.0,22.004879960695238,54.0,53.966399011737444,59379.259530526266,30.415727336697866,76.71534067404987,54.602485554379285,21.25498923451421,34.76491436528716,764.7647058823527,-17.812029296536252,704.9803921568626
2021,Jalgaon,-3.893435527772487e-208,3.893435527772488e-208,550.7827656200905,41.405076797058314,86.51628484508514,1885.2248402704854,88.04949462472263,199.82159039987124,1802.7461350325555,21.0,20.35287880332314,1316.0648354487394,307.35924580410665,766.0036345945803,3197.1947601649977,60.49069147238716,89.0,1221.4292112520802,20.0,15.316114240451407,711.3197793771934,14.500000000000005,54.6580138245279,635.1537750296158,5.0,5.498926259266729,1155.5119974356141,12.872147178415577,0.6668436501068994,259.0,-7.105427357601002e-15,47.42326782933415,-1.1368683772161603e-13,9.49877697514063,78.83706857525439,7745.495177397299,504.0,171.04818091802858,325.1524342782993,7.939020295653328,48.18107946136703,138.6401800727157,97.70779153624807,45941.0,23.78706988926579,54.0,55.11106078565262,59379.25666358117,30.92058235014575,78.15827646266368,55.68949934764299,21.254803432961186,34.7647414469253,764.7647058823526,-17.310341046796673,704.9803921568629
2022,Jalgaon,-3.893435527772487e-208,3.893435527772488e-208,599.3880699874604,41.314044421021784,89.61811506397638,1885.226207118067,88.04950066434868,206.00064146271657,1802.7477408072732,21.0,19.967263302605218,1355.9028560414667,339.140867012969,976.8701217982239,3243.7187216905645,61.54269035381107,89.0,1237.3276368981035,20.0,15.315870614657868,704.945980369815,4.800000000000008,55.23354211271443,643.2305491496037,5.0,5.498912552719589,1155.5150436463018,14.013244239534076,0.6153764008925108,259.0,-7.105427357601002e-15,49.76591625142229,-1.1368683772161603e-13,9.49901064973894,78.720005051347,7741.881592124429,504.0,258.0168628988689,470.65147142217165,7.940867799849171,47.896675963773106,141.1058378745929,99.42675063462053,45941.0,24.595160158989884,54.0,55.181274156469975,59379.25557374561,31.425396107032018,79.60137427381557,56.75639726443232,21.25466281971861,34.76460122345113,764.7647058823533,-16.8252745979627,704.9803921568628
2023,Jalgaon,-3.893435527772487e-208,3.893435527772488e-208,639.7876689840258,41.27550248617645,90.2870646779089,1885.2268530648741,88.04950292301011,211.0037044992033,1802.7486984303553,21.0,19.59128630395838,1373.8610913125913,358.2758743073172,885.796871513374,3290.009518077362,62.59512727107785,89.0,1253.2416909542594,20.0,15.315772582478656,734.8552593119417,-4.899999999999995,54.81046734130579,651.3038692145441,5.0,5.498906239008114,1155.5169119315751,14.973957694779253,0.5680075439691779,259.0,-7.105427357601002e-15,51.37333201335389,-1.1368683772161603e-13,9.499059204506276,78.59255291952775,7740.704870441,504.0,135.34625713178355,397.4873899817363,7.942227978665248,47.61233511425234,143.57169474393123,101.14572662663596,45941.0,22.522793689353627,54.0,54.94043666831278,59379.255158990345,31.93017183328851,81.04452431731697,57.81650059806593,21.25455612133493,34.764486661327794,764.7647058823532,-16.35633882441772,704.9803921568628
