Dist Name,Feature,MSE,MAE,RMSE,MAPE,R-squared
Beed,PHOSPHATE PER HA OF GCA (Kg per ha),15.05090512,2.567338063,3.879549602,56.43414534,0.898332337
Beed,NITROGEN PER HA OF GCA (Kg per ha),37.67845962,4.088439372,6.138278229,39.01205029,0.898647352
Beed,TOTAL PER HA OF NCA (Kg per ha),233.9340134,10.28489998,15.29490155,51.06072302,0.903169088
Beed,PHOSPHATE PER HA OF NCA (Kg per ha),23.08133811,3.34898729,4.804304124,64.59404856,0.910134414
Beed,PHOSPHATE CONSUMPTION (tons),12731416.04,2389.498654,3568.11099,49.7033458,0.910764276
Beed,TOTAL AREA (1000 ha),45.74352941,0.952941176,6.763396293,0.089152782,0.919057778
Beed,NITROGEN CONSUMPTION (tons),22427582.52,3373.451527,4735.776865,38.93728617,0.93704309
Beed,TOTAL CONSUMPTION (tons),79637506.06,6270.660002,8923.984875,41.58601358,0.939926454
Bhandara,Max Temp (Centigrate),0.148804061,0.306321638,0.385751295,0.932728907,-0.046498387
Bhandara,PERMANENT PASTURES AREA (1000 ha),76.71220327,5.45158371,8.758550295,4.515763353,-0.000448863
Bhandara,Evapotranspiration (mm),4385.081934,54.00602187,66.21995118,6.274292224,-0.00014495
Bhandara,Annual Rainfall,98332.61466,234.9717949,313.5803161,18.88816656,-3.47E-05
Bhandara,Precipitation (mm),88113.28389,228.5620995,296.838818,16.07955318,0.08806197
Bhandara,CROPING INTENSITY (Percent),50.39612874,5.261237343,7.099023084,4.06429766,0.109459076
Bhandara,OTHER FALLOW AREA (1000 ha),72.53794964,4.253311669,8.516921371,37.16396918,0.127921472
Bhandara,BARREN AND UNCULTIVABLE LAND AREA (1000 ha),14.61996167,1.93766997,3.823605847,9.10878661,0.13601774
Bhandara,NET CROPPED AREA (1000 ha),454.5406643,9.001669032,21.31995929,2.785804802,0.167503978
Bhandara,PHOSPHATE SHARE IN NPK (Percent),19.70677362,3.580441648,4.439231197,15.47913027,0.193354828
Bhandara,Yield,9479518.602,2263.152157,3078.882687,16.92155793,0.21199431
Bhandara,CURRENT FALLOW AREA (1000 ha),52.88439118,4.260062806,7.272165508,35.70467704,0.243091161
Bhandara,CULTIVABLE WASTE LAND AREA (1000 ha),18.10651541,2.25001325,4.255175132,11.43575711,0.275026507
Bhandara,Min Temp (Centigrate),0.159488221,0.319142449,0.399359763,1.535837208,0.279049682
Bhandara,NITROGEN SHARE IN NPK (Percent),33.68580513,4.595489418,5.803947375,7.354979837,0.323215515
Bhandara,GROSS CROPPED AREA (1000 ha),723.535813,19.32268337,26.89862102,4.261650497,0.34437742
Bhandara,POTASH CONSUMPTION (tons),1458790.788,851.0831569,1207.804118,48.4931594,0.365323073
Bhandara,POTASH PER HA OF NCA (Kg per ha),10.76755615,2.285147292,3.281395458,45.42022377,0.392825026
Bhandara,POTASH PER HA OF GCA (Kg per ha),7.254649407,1.796695545,2.693445638,47.65745778,0.394631257
Bhandara,Production,15291.78672,101.5686966,123.6599641,24.91177298,0.435620936
Bhandara,Area,2109.553006,33.04231687,45.92987051,6.454774839,0.452289433
Bhandara,TOTAL AREA (1000 ha),0.355124182,0.13211196,0.595922966,0.014240833,0.490991152
Bhandara,LAND PUT TO NONAGRICULTURAL USE AREA (1000 ha),16.11656898,2.276455684,4.014544679,2.734933205,0.51739711
Bhandara,POTASH SHARE IN NPK (Percent),22.420575,2.951861668,4.735036958,17415.2781,0.517557632
Bhandara,Irrigated Area,1171.479573,17.69099987,34.22688378,38533567.46,0.794472516
Bhandara,FOREST AREA (1000 ha),14.00804298,1.65524198,3.742732021,0.614961656,0.809809142
Bhandara,PHOSPHATE CONSUMPTION (tons),4794582.659,1680.032659,2189.653548,37.32980044,0.890152847
Bhandara,PHOSPHATE PER HA OF GCA (Kg per ha),17.03293756,3.032974885,4.127097959,31.72768883,0.915113037
Bhandara,PHOSPHATE PER HA OF NCA (Kg per ha),25.4221022,3.82426727,5.042033538,33.45418971,0.925351367
Bhandara,TOTAL CONSUMPTION (tons),32536195.72,4088.945404,5704.050817,21.56404968,0.926347802
Bhandara,TOTAL PER HA OF NCA (Kg per ha),250.9408293,11.39111894,15.841112,21.75429692,0.928030011
Bhandara,NITROGEN PER HA OF NCA (Kg per ha),101.4411916,7.501398971,10.0718018,21.24750017,0.930944127
Bhandara,NITROGEN CONSUMPTION (tons),12227988.35,2590.759282,3496.854065,21.42852799,0.933789555
Bhandara,NITROGEN PER HA OF GCA (Kg per ha),51.22015142,5.357463116,7.156825513,20.84988335,0.939625051
Buldhana,OTHER FALLOW AREA (1000 ha),109.9138638,6.90260181,10.48398129,27.61894181,-0.00034095
Buldhana,Precipitation (mm),27004.71737,119.4179072,164.3311211,19.84062118,-0.000187311
Buldhana,Evapotranspiration (mm),5880.992872,59.89649698,76.6876318,9.838616403,-1.12E-05
Buldhana,Annual Rainfall,25470.22976,135.9628333,159.5939528,19.58633162,0.115790697
Buldhana,CULTIVABLE WASTE LAND AREA (1000 ha),60.50968364,4.129851296,7.778797056,19.21386656,0.150739312
Buldhana,NET CROPPED AREA (1000 ha),296.3658399,11.72416342,17.21527926,1.744901,0.214694361
Buldhana,CURRENT FALLOW AREA (1000 ha),34.26264501,3.821204748,5.853430191,23.56513597,0.232651753
Buldhana,Production,87073.47451,222.5253206,295.0821487,29.47542097,0.240628124
Buldhana,Max Temp (Centigrate),0.145813213,0.318392518,0.381854963,0.967983111,0.249939288
Buldhana,NITROGEN SHARE IN NPK (Percent),29.82912562,4.417847737,5.461604675,7.597637417,0.283272439
Buldhana,Area,5455.36774,53.93200502,73.86046128,4.856590565,0.331138727
Buldhana,POTASH SHARE IN NPK (Percent),28.07121622,3.601288037,5.298227649,28.90063013,0.334587395
Buldhana,Yield,11892766.27,2836.523825,3448.589026,15.65317277,0.361447171
Buldhana,Min Temp (Centigrate),0.157657084,0.330642037,0.397060554,1.59630652,0.453851864
Buldhana,PHOSPHATE SHARE IN NPK (Percent),21.48276557,3.271904113,4.634950438,13.06014993,0.46762406
Buldhana,GROSS CROPPED AREA (1000 ha),2149.860709,31.50533848,46.36659044,3.884992901,0.577290083
Buldhana,FOREST AREA (1000 ha),101.5490577,4.269855407,10.07715524,5.029298192,0.607770202
